Date,Open,High,Low,Close,Adj_Close,Volume
31-05-2001,5.5625,5.8375,5.5625,5.7925,5.7925,1158000
1/6/2001,5.9425,5.975,5.815,5.965,5.965,715600
4/6/2001,5.965,6.0375,5.9275,6.0175,6.0175,867600
5/6/2001,6.08,6.25,6.08,6.1625,6.1625,2896000
6/6/2001,6.1875,6.3025,6.185,6.25,6.25,1427600
7/6/2001,6.25,6.345,6.2275,6.2925,6.2925,2235200
8/6/2001,6.25,6.29,6.2,6.2625,6.2625,1014800
11/6/2001,6.2375,6.325,6.16,6.2,6.2,1052400
12/6/2001,6.2,6.2,6.05,6.115,6.115,1103600
13-06-2001,6.1475,6.245,6.09,6.095,6.095,654800
14-06-2001,6.07,6.07,5.9475,5.995,5.995,526400
15-06-2001,5.9325,5.9975,5.8875,5.97,5.97,651200
18-06-2001,5.97,6.075,5.97,6.0075,6.0075,634400
19-06-2001,6,6.04,6,6.03,6.03,541600
20-06-2001,6.0325,6.2375,6.0325,6.135,6.135,628000
21-06-2001,6.135,6.22,6.105,6.165,6.165,309600
22-06-2001,6.2275,6.2425,6.0625,6.175,6.175,930000
25-06-2001,6.1125,6.2175,6.1,6.1725,6.1725,1610400
26-06-2001,6.1375,6.3,6.1375,6.27,6.27,639600
27-06-2001,6.27,6.6125,6.27,6.37,6.37,1223600
28-06-2001,6.3125,6.425,6.2875,6.375,6.375,614800
29-06-2001,6.375,6.6,6.2875,6.59,6.59,2944000
2/7/2001,6.59,6.775,6.5125,6.575,6.575,1291600
3/7/2001,6.5875,6.6375,6.5625,6.5625,6.5625,226000
5/7/2001,6.5625,6.8125,6.5,6.535,6.535,690800
6/7/2001,6.535,6.535,6.37,6.37,6.37,246400
9/7/2001,6.4325,6.6125,6.375,6.6075,6.6075,474400
10/7/2001,6.6,6.675,6.52,6.655,6.655,648400
11/7/2001,6.68,6.695,6.525,6.66,6.66,572400
12/7/2001,6.635,6.75,6.635,6.74,6.74,586400
13-07-2001,6.74,7,6.74,6.945,6.945,1958400
16-07-2001,6.9125,6.925,6.5,6.535,6.535,624800
17-07-2001,6.56,6.675,6.5125,6.57,6.57,779600
18-07-2001,6.57,6.57,6.3875,6.4675,6.4675,650800
19-07-2001,6.4675,6.4725,5.985,6.0125,6.0125,1647200
20-07-2001,5.875,6,5.375,5.7875,5.7875,3481600
23-07-2001,5.7875,5.8,5.7,5.76,5.76,2436800
24-07-2001,5.7675,6,5.7625,5.97,5.97,1121200
25-07-2001,5.95,5.9525,5.85,5.8625,5.8625,776400
26-07-2001,5.8375,6.0325,5.775,6.0275,6.0275,1280400
27-07-2001,6.1875,6.4,5.9375,6.25,6.25,1973600
30-07-2001,6.25,6.43,6.175,6.2125,6.2125,1294000
31-07-2001,6.2125,6.25,6.1125,6.195,6.195,896400
1/8/2001,6.2375,6.275,6.175,6.225,6.225,1061600
2/8/2001,6.3125,6.3125,6,6.0225,6.0225,776000
3/8/2001,6.025,6.0875,5.875,5.9875,5.9875,642000
6/8/2001,5.9875,6.1,5.975,6.07,6.07,1097200
7/8/2001,6.05,6.175,6.05,6.095,6.095,1038800
8/8/2001,6.095,6.205,6.0875,6.0875,6.0875,1262000
9/8/2001,6.0375,6.0625,5.9275,5.995,5.995,476800
10/8/2001,5.9875,6.07,5.925,5.9625,5.9625,1051200
13-08-2001,6,6.13,6,6.0375,6.0375,649200
14-08-2001,6.0625,6.265,6.0575,6.265,6.265,511600
15-08-2001,6.265,6.45,6.265,6.3075,6.3075,712000
16-08-2001,6.2825,6.405,6.2125,6.245,6.245,416000
17-08-2001,6.2125,6.385,6.2125,6.3625,6.3625,454800
20-08-2001,6.3625,6.505,6.25,6.505,6.505,660000
21-08-2001,6.505,6.505,6.275,6.32,6.32,771200
22-08-2001,6.4,6.475,6.2625,6.3875,6.3875,396800
23-08-2001,6.425,6.55,6.3125,6.4975,6.4975,602800
24-08-2001,6.475,6.475,6.33,6.4375,6.4375,474800
27-08-2001,6.4375,6.5125,6.3125,6.4125,6.4125,494400
28-08-2001,6.4,6.425,6.285,6.285,6.285,460400
29-08-2001,6.3125,6.55,6.2975,6.525,6.525,766800
30-08-2001,6.5,6.625,6.4875,6.57,6.57,824400
31-08-2001,6.54,6.65,6.5075,6.5725,6.5725,558000
4/9/2001,6.5625,6.59,6.475,6.5,6.5,878400
5/9/2001,6.5,6.525,6.4875,6.505,6.505,1026800
6/9/2001,6.5025,6.525,6.4625,6.5,6.5,952400
7/9/2001,6.5025,6.525,6.3625,6.515,6.515,640400
10/9/2001,6.465,6.55,6.3875,6.4125,6.4125,803600
17-09-2001,6.1625,6.3875,6.075,6.205,6.205,1071200
18-09-2001,6.205,6.225,5.925,5.9375,5.9375,850000
19-09-2001,6,6,5.75,5.815,5.815,938400
